Device,Mitigation,Fault,Area,Linac_Z,Position,MPS_Signal_Source_Location,Application_Card_Number,MPS_Crate,MPS_Channel_#1,Drawing_#
BPM_2690_X,HXU,STATE,UNDH,2690,2690,BPMS:UNDH:2690:XCUHBR,369,B911-0537,39,
BPM_2690_Y,HXU,STATE,UNDH,2690,2690,BPMS:UNDH:2690:YCUHBR,369,B911-0537,40,
BPM_2790_X,HXU,STATE,UNDH,2790,2790,BPMS:UNDH:2790:XCUHBR,369,B911-0537,41,
BPM_2790_Y,HXU,STATE,UNDH,2790,2790,BPMS:UNDH:2790:YCUHBR,369,B911-0537,42,
BPM_2890_X,HXU,STATE,UNDH,2890,2890,BPMS:UNDH:2890:XCUHBR,369,B911-0537,43,
BPM_2890_Y,HXU,STATE,UNDH,2890,2890,BPMS:UNDH:2890:YCUHBR,369,B911-0537,44,
BPM_2990_X,HXU,STATE,UNDH,2990,2990,BPMS:UNDH:2990:XCUHBR,369,B911-0537,45,
BPM_2990_Y,HXU,STATE,UNDH,2990,2990,BPMS:UNDH:2990:YCUHBR,369,B911-0537,46,
BPM_3090_X,HXU,STATE,UNDH,3090,3090,BPMS:UNDH:3090:XCUHBR,215,B106-0124,37,
BPM_3090_Y,HXU,STATE,UNDH,3090,3090,BPMS:UNDH:3090:YCUHBR,215,B106-0124,38,
BPM_3190_X,HXU,STATE,UNDH,3190,3190,BPMS:UNDH:3190:XCUHBR,215,B106-0124,39,
BPM_3190_Y,HXU,STATE,UNDH,3190,3190,BPMS:UNDH:3190:YCUHBR,215,B106-0124,40,
BPM_3290_X,HXU,STATE,UNDH,3290,3290,BPMS:UNDH:3290:XCUHBR,215,B106-0124,41,
BPM_3290_Y,HXU,STATE,UNDH,3290,3290,BPMS:UNDH:3290:YCUHBR,215,B106-0124,42,
BPM_3390_X,HXU,STATE,UNDH,3390,3390,BPMS:UNDH:3390:XCUHBR,215,B106-0124,43,
BPM_3390_Y,HXU,STATE,UNDH,3390,3390,BPMS:UNDH:3390:YCUHBR,215,B106-0124,44,
BPM_3490_X,HXU,STATE,UNDH,3490,3490,BPMS:UNDH:3490:XCUHBR,215,B106-0124,45,
BPM_3490_Y,HXU,STATE,UNDH,3490,3490,BPMS:UNDH:3490:YCUHBR,215,B106-0124,46,
BPM_3590_X,HXU,STATE,UNDH,3590,3590,BPMS:UNDH:3590:XCUHBR,215,B106-0124,47,
BPM_3590_Y,HXU,STATE,UNDH,3590,3590,BPMS:UNDH:3590:YCUHBR,229,B105-0117,44,
BPM_3690_X,HXU,STATE,UNDH,3690,3690,BPMS:UNDH:3690:XCUHBR,229,B105-0117,45,
BPM_3690_Y,HXU,STATE,UNDH,3690,3690,BPMS:UNDH:3690:YCUHBR,227,B005-L0811,35,
BPM_3790_X,HXU,STATE,UNDH,3790,3790,BPMS:UNDH:3790:XCUHBR,227,B005-L0811,36,
BPM_3790_Y,HXU,STATE,UNDH,3790,3790,BPMS:UNDH:3790:YCUHBR,227,B005-L0811,37,
BPM_3890_X,HXU,STATE,UNDH,3890,3890,BPMS:UNDH:3890:XCUHBR,227,B005-L0811,38,
BPM_3890_Y,HXU,STATE,UNDH,3890,3890,BPMS:UNDH:3890:YCUHBR,227,B005-L0811,39,
BPM_3990_X,HXU,STATE,UNDH,3990,3990,BPMS:UNDH:3990:XCUHBR,227,B005-L0811,40,
BPM_3990_Y,HXU,STATE,UNDH,3990,3990,BPMS:UNDH:3990:YCUHBR,227,B005-L0811,41,
BPM_4090_X,HXU,STATE,UNDH,4090,4090,BPMS:UNDH:4090:XCUHBR,227,B005-L0811,42,
BPM_4090_Y,HXU,STATE,UNDH,4090,4090,BPMS:UNDH:4090:YCUHBR,227,B005-L0811,43,
BPM_4190_X,HXU,STATE,UNDH,4190,4190,BPMS:UNDH:4190:XCUHBR,227,B005-L0811,44,
BPM_4190_Y,HXU,STATE,UNDH,4190,4190,BPMS:UNDH:4190:YCUHBR,227,B005-L0811,45,
BPM_4290_X,HXU,STATE,UNDH,4290,4290,BPMS:UNDH:4290:XCUHBR,227,B005-L0811,46,
BPM_4290_Y,HXU,STATE,UNDH,4290,4290,BPMS:UNDH:4290:YCUHBR,227,B005-L0811,47,
BPM_4390_X,HXU,STATE,UNDH,4390,4390,BPMS:UNDH:4390:XCUHBR,229,B105-0117,34,
BPM_4390_Y,HXU,STATE,UNDH,4390,4390,BPMS:UNDH:4390:YCUHBR,229,B105-0117,35,
BPM_4490_X,HXU,STATE,UNDH,4490,4490,BPMS:UNDH:4490:XCUHBR,229,B105-0117,36,
BPM_4490_Y,HXU,STATE,UNDH,4490,4490,BPMS:UNDH:4490:YCUHBR,229,B105-0117,37,
BPM_4590_X,HXU,STATE,UNDH,4590,4590,BPMS:UNDH:4590:XCUHBR,229,B105-0117,38,
BPM_4590_Y,HXU,STATE,UNDH,4590,4590,BPMS:UNDH:4590:YCUHBR,229,B105-0117,39,
BPM_4690_X,HXU,STATE,UNDH,4690,4690,BPMS:UNDH:4690:XCUHBR,229,B105-0117,40,
BPM_4690_Y,HXU,STATE,UNDH,4690,4690,BPMS:UNDH:4690:YCUHBR,229,B105-0117,41,
