Number,Area,Location,Slot,AMC,Crate_Number,Crate,Type,Type_Number,Global_ID,Name,Description
189,SPD,MP04,1,2,54,L2KG30-7D13,MPS Digital,1,189,MPS Digital,Digital Inputs
190,SPD,MP04,3,0,54,L2KG30-7D13,BPM,4,190,BPM,BPMSP3D/
191,SPD,MP04,4,2,54,L2KG30-7D13,Wire Scanner,7,191,Wire Scanner,WSSP1D
192,SPS,MP04,1,2,55,L2KG30-7D20,MPS Digital,1,192,MPS Digital,Digital Inputs
193,SPS,MP04,2,1,55,L2KG30-7D20,MPS Analog,2,193,MPS Analog,Analog Inputs
194,SPS,MP04,3,0,55,L2KG30-7D20,BPM,4,194,BPM,BPMSP8S/BPMSP9S
195,SPS,MP04,4,0,55,L2KG30-7D20,BPM,4,195,BPM,BPMBP36/
196,SPH,MP05,1,2,56,L2KG30-7D27,MPS Digital,1,196,MPS Digital,Digital Inputs
197,SPH,MP05,2,1,56,L2KG30-7D27,MPS Analog,2,197,MPS Analog,Analog Inputs
198,SPH,MP05,3,0,56,L2KG30-7D27,BPM,4,198,BPM,BPMSP9H/BPMSP10H
199,SPH,MP05,4,0,56,L2KG30-7D27,BPM,4,199,BPM,BPMSP11H/
200,CLTS,MP01,1,2,57,B136-0521,MPS Digital,1,200,MPS Digital,Digital Inputs
201,SPS,MP05;MP06;MP07,1,2,58,B136-0528,MPS Digital,1,201,MPS Digital,Digital Inputs
202,SPS,MP05;MP06;MP07,2,1,58,B136-0528,MPS Analog,2,202,MPS Analog,Analog Inputs
203,SPS,MP05;MP06;MP07,3,0,58,B136-0528,BPM,4,203,BPM,BPMBP31/BPMBP32
204,SPS,MP05;MP06;MP07,5,1,58,B136-0528,MPS Analog,2,204,MPS Analog,Analog Inputs
205,SPS,MP05;MP06;MP07,6,1,58,B136-0528,MPS Analog,2,205,MPS Analog,Analog Inputs
206,SPH,MP06;MP07,1,2,59,B136-0628,MPS Digital,1,206,MPS Digital,Digital Inputs
207,SPH,MP06;MP07,2,1,59,B136-0628,MPS Analog,2,207,MPS Analog,Analog Inputs
208,SPH,MP06;MP07,3,0,59,B136-0628,BPM,4,208,BPM,BPMBSYQ3/BPMBSYQ4
209,SPH,MP06;MP07,4,0,59,B136-0628,BPM,4,209,BPM,BPMSP12H/BPMSP13H
210,SPH,MP06;MP07,5,1,59,B136-0628,MPS Analog,2,210,MPS Analog,Analog Inputs
211,SLTD,MP01,1,2,60,B106-0117,MPS Digital,1,211,MPS Digital,Digital Inputs
212,SLTD,MP01,3,0,60,B106-0117,BPM,4,212,BPM,BPMSP4D/BPMSP5D
213,SLTD,MP01,2,1,60,B106-0117,MPS Analog,2,213,MPS Analog,Analog Inputs
214,UNDH,MP06;MP07;MP10,3,1,82,B921-1524,MPS Analog,2,214,MPS Analog,Analog Inputs
215,BSYH,MP01;MP02,1,2,61,B106-0124,MPS Digital,1,215,MPS Digital,Digital Inputs
216,BSYH,MP01;MP02,2,1,61,B106-0124,MPS Analog,2,216,MPS Analog,Analog Inputs
217,BSYH,MP01;MP02,3,0,61,B106-0124,BPM,4,217,BPM,BPMBSYQ5/BPMBSYQ6
218,BSYH,MP01;MP02,4,0,61,B106-0124,BPM,4,218,BPM,BPMBSYQA0/
219,BSYH,MP01;MP02,6,1,61,B106-0124,MPS Analog,2,219,MPS Analog,Analog Inputs
220,BSYH,MP01;MP02,7,2,61,B106-0124,Wire Scanner,7,220,Wire Scanner,WSVM2/
221,BSYS,MP01;MP02;MP03,1,2,62,B106-0131,MPS Digital,1,221,MPS Digital,Digital Inputs
222,BSYS,MP01;MP02;MP03,2,1,62,B106-0131,MPS Analog,2,222,MPS Analog,Analog Inputs
223,BSYS,MP01;MP02;MP03,3,0,62,B106-0131,BPM,4,223,BPM,BPMDBL1/BPMDBL2
224,BSYS,MP01;MP02;MP03,4,0,62,B106-0131,BPM,4,224,BPM,BPMBP34/BPMDL11
225,BSYS,MP01;MP02;MP03,5,1,62,B106-0131,MPS Analog,2,225,MPS Analog,Analog Inputs
226,BSYS,MP01;MP02;MP03,6,1,62,B106-0131,MPS Analog,2,226,MPS Analog,Analog Inputs
227,BSYH,MP03,1,2,63,B005-L0811,MPS Digital,1,227,MPS Digital,Digital Inputs
228,BSYS,MP04,1,2,64,B005-L0716,MPS Digital,1,228,MPS Digital,Digital Inputs
229,LTUH,MP01,1,2,65,B105-0117,MPS Digital,1,229,MPS Digital,Digital Inputs
230,LTUH,MP01,3,0,65,B105-0117,BPM,4,230,BPM,BPMVM1/BPMVM2
231,LTUH,MP01,4,0,65,B105-0117,BPM,4,231,BPM,BPMVB1/BPMVB2
232,LTUH,MP02,2,1,66,B105-0124,MPS Analog,2,232,MPS Analog,Analog Inputs
233,LTUH,MP02,3,0,66,B105-0124,BPM,4,233,BPM,BPMVB3/BPMVM3
234,LTUH,MP02,4,0,66,B105-0124,BPM,4,234,BPM,BPMVM4/BPMDL1
235,LTUH,MP02,5,0,66,B105-0124,BPM,4,235,BPM,BPMT12/BPMDL2
236,LTUH,MP02,6,0,66,B105-0124,BPM,4,236,BPM,BPMT22/
237,LTUS,MP01,2,1,67,B105-0131,MPS Analog,2,237,MPS Analog,Analog Inputs
