Column1,Location,Sector,Rack,Elevation,Num_Slots,Shelf_Number,Crate_Id,LN_Area,LN_Location,LN_Type,LN_Slot,LCLS1_ID,Group,Group_Link,Group_Link_Destination,Beam_Line,Network_Drawing,CPU_Name,Fiber_id
1,L2KA00-0517,LI00,5,17,7,0,0,GUNB,MP01,2,2,50,0,2,100,Linac,SD-144-182-02-C0,cpu-gunb-sp01,
2,L2KA00-0615,LI00,6,15,7,0,0,HTR,MP01,2,2,51,0,1,2,Linac,SD-144-182-02-C0,cpu-l0b-sp01,
3,L2KA00-0608,LI00,6,8,7,0,1,L0B,MP01,2,2,52,0,0,1,Linac,SD-144-182-02-C0,cpu-l0b-sp01,
4,L2KG01-1925,LI01,19,25,7,0,0,L0B,MP02,2,2,53,1,0,1,Linac,SD-144-182-03-C0,cpu-l0b-sp02,
5,L2KG01-1931,LI01,19,31,7,0,1,HTR,MP02,2,2,54,1,1,2,Linac,SD-144-182-03-C0,cpu-l0b-sp02,
6,L2KG01-1937,LI01,19,37,7,0,2,HTR,MP03,2,2,55,1,2,3,Linac,SD-144-182-03-C0,cpu-l0b-sp02,
7,L2KG01-2037,LI01,20,37,7,0,0,COL0,MP01,2,2,56,1,3,100,Linac,SD-144-182-03-C0,cpu-col0-sp01,
8,L2KG02-2209,LI02,22,9,7,0,0,BC1B,MP01,2,2,57,2,0,1,Linac,SD-144-182-04-C0,cpu-bc1b-sp01,
9,L2KG02-2215,LI02,22,15,7,0,0,COL1,MP01,2,2,58,2,1,2,Linac,SD-144-182-04-C0,cpu-bc1b-sp01,
10,L2KG02-2323,LI02,23,23,7,0,0,BC1B,MP02,2,2,59,2,2,100,Linac,SD-144-182-04-C0,cpu-bc1b-sp02,
11,L2KG03-4933,LI03,49,33,7,0,0,L2B,MP01,2,2,60,3,1,100,Linac,SD-144-182-05-C0,cpu-l2b-sp01,
12,L2KG03-6033,LI03,60,33,7,0,0,L2B,MP02,2,2,61,3,0,1,Linac,SD-144-182-05-C0,cpu-l2b-sp02,
13,L2KG04-1923,LI04,19,23,7,0,0,BC2B,MP01,2,2,62,4,0,1,Linac,SD-144-182-06-C0,cpu-bc2b-sp01,
